experiment_id,cement,slump_cm,strength_mpa
1,273,23,34.99
2,163,0,41.14
3,162,1,41.81
4,162,3,42.08
5,154,20,26.82
6,147,23,25.21
7,152,0,38.86
8,145,14.5,36.59
9,152,15.5,32.71
10,304,19,38.46
11,145,24.5,26.02
12,148,23.75,28.03
13,142,25.5,31.37
14,354,17,33.91
15,374,14.5,32.44
16,159,23.5,34.05
17,153,12,28.29
18,295,25,41.01
19,310,20.5,49.3
20,296,15,29.23
21,305,20,29.77
22,310,13,36.19
23,148,0,18.52
24,146,18,17.19
25,142,0,36.72
26,140,23.75,33.38
27,308,25,42.08
28,295,26.5,39.4
29,298,16,41.27
30,314,21.5,41.14
31,321,24,45.82
32,349,20,43.95
33,366,24.75,52.65
34,274,26.5,35.52
35,137,27.5,34.45
36,275,25.75,43.54
37,252,23,33.11
38,165,14.5,18.26
39,158,19,34.99
40,156,21,33.78
41,145,2.5,35.66
42,154,23,33.51
43,160,13,33.51
44,291,24,27.62
45,298,3,30.97
46,318,17.5,31.77
47,280,25.5,37.39
48,287,25,43.01
49,332,0,58.53
50,326,21.5,52.65
51,320,23.5,45.69
52,342,21,32.04
53,356,8,36.46
54,309,24,38.59
55,322,20.5,45.42
56,159,23,19.19
57,307,22,31.5
58,313,22,29.63
59,143,25,26.42
60,140,24,29.5
61,278,19,32.71
62,288,22.5,39.93
63,299,25,28.29
64,291,23,30.43
65,265,27,37.39
66,159,21,35.39
67,160,18,37.66
68,166,21,40.34
69,320,2,46.36
70,336,26,31.9
71,276,0,44.08
72,313,23,28.16
73,322,25.5,29.77
74,294,24,41.27
75,146,24,27.89
76,149,23.5,28.7
77,159,12,32.57
78,261,23,34.18
79,140,16.25,30.83
80,141.1,23.5,30.43
81,140.1,24.5,26.42
82,140.1,21,26.28
83,160.2,24,36.19
84,140.2,21.25,36.32
85,140.2,23.5,33.78
86,140.5,24.5,30.97
87,143.3,25,27.09
88,194.3,26.5,38.46
89,150.4,9.5,37.92
90,150.3,14.5,38.19
91,155.4,14.5,35.52
92,165.3,17,32.84
93,303.8,25,44.48
94,172,0,41.54
95,172.8,0,41.81
96,184.3,0,41.01
97,215.6,27.5,39.13
98,295.3,25,44.08
99,248.3,0,49.97
100,248,2,50.23
101,258.8,0,50.5
102,297.1,27.5,49.17
103,348.7,29,48.77
