experiment_id,cement,slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,slump_cm,flow_cm,strength_mpa
4,162,148,190,179,19,838,741,3,21.5,42.08
7,152,139,178,168,18,944,695,0,20,38.86
8,145,0,227,240,6,750,853,14.5,58.5,36.59
19,310,0,143,168,10,914,804,20.5,48.2,49.3
25,142,130,167,174,11,883,785,0,20,36.72
28,295,106,136,208,6,871,650,26.5,70,39.4
33,366,0,187,191,7,824,757,24.75,62.7,52.65
35,137,167,214,226,6,708,757,27.5,70,34.45
36,275,99,127,184,13,810,790,25.75,64.5,43.54
49,332,0,170,160,6,900,806,0,20,58.53
50,326,0,167,174,6,884,792,21.5,42,52.65
67,160,0,250,168,12,1049,688,18,48,37.66
68,166,0,260,183,13,859,827,21,54,40.34
83,160.2,0.3,240,233.5,9.2,781,841.1,24,75,36.19
84,140.2,30.5,239,169.4,5.3,1028.4,742.7,21.25,46,36.32
88,194.3,0.3,240,234.2,8.9,780.6,811.3,26.5,78,38.46
90,150.3,111.4,238.8,167.3,6.5,999.5,670.5,14.5,36.5,38.19
97,215.6,112.9,239,198.7,7.4,884,649.1,27.5,64,39.13
98,295.3,0,239.9,236.2,8.3,780.3,722.9,25,77,44.08
100,248,101,239.9,169.1,7.7,949.9,644.1,2,20,50.23
101,258.8,88,239.6,175.3,7.6,938.9,646,0,20,50.5
102,297.1,40.9,239.9,194,7.5,908.9,651.8,27.5,67,49.17
103,348.7,0.1,223.1,208.5,9.6,786.2,758.1,29,78,48.77
